collection_id,time,type,scheduling_class,priority,collection_type
385166664975,1558308067449,2,2,115,0
385166664975,1558312620986,3,2,115,0
385166664975,1559865214342,6,2,115,0
385220264395,1567662287620,1,0,105,0
385220264395,1567668104985,2,0,105,0
385220264395,1567670294744,3,0,105,0
385220264395,1567752365034,6,0,105,0
385222949396,1568374036573,1,2,115,0
385222949396,1568401819966,2,2,115,0
385222949396,1568417174256,3,2,115,0
385222949396,1568587709399,6,2,115,0
385222958269,1568387447197,1,0,105,0
385222958269,1568401827583,2,0,105,0
385222958269,1568409681794,3,0,105,0
385222958269,1568542106110,6,0,105,0
385228473735,1569857506841,1,2,115,0
385228473735,1569870079300,2,2,115,0
385228473735,1569874927197,3,2,115,0
385228473735,1570137465728,6,2,115,0
385235573494,1572313972255,0,2,117,0
385235573494,1572340625129,2,2,117,0
385235573494,1572377627427,3,2,117,0
385235573494,1573152997172,6,2,117,0
385235744359,1572473252054,0,2,119,0
385235744359,1572473252059,2,2,119,0
385235744359,1572473266754,3,2,119,0
385235744359,1572605563166,6,2,119,0
385235744849,1572475847981,0,2,119,0
385235744849,1572475847986,2,2,119,0
385235744849,1572475893729,3,2,119,0
385235744849,1572586519354,6,2,119,0
385235744892,1572476337949,0,2,119,0
385235744892,1572476337954,2,2,119,0
385235744892,1572476365395,3,2,119,0
385235744892,1572606271876,6,2,119,0
385236380265,1573358925309,0,2,117,0
385236380265,1573385597212,2,2,117,0
385236380265,1573419649887,3,2,117,0
385236380265,1573646228650,6,2,117,0
385244164897,1575906670711,1,2,115,0
385244164897,1575922942254,2,2,115,0
385244164897,1575924319463,3,2,115,0
385244164897,1576046426407,6,2,115,0
385254302756,1580924767263,1,2,115,0
385254302756,1580938456015,2,2,115,0
385254302756,1580959354873,3,2,115,0
385254302756,1581448129919,6,2,115,0
385258711710,1582391322619,0,2,117,0
385258711710,1582421095365,2,2,117,0
385258711710,1582493764120,3,2,117,0
385258711710,1587707857930,6,2,117,0
385311227279,1605282462048,1,2,115,0
385311227279,1606197765749,2,2,115,0
385311227279,1606215526623,3,2,115,0
385311227279,1606468155949,6,2,115,0
385311349633,1605343254499,1,2,115,0
385311349633,1610784868790,2,2,115,0
385311349633,1610786354747,3,2,115,0
385311349633,1611161781104,6,2,115,0
385318827328,1609490428758,0,2,115,0
385318827328,1609500733229,1,2,115,0
385318827328,1615250156441,2,2,115,0
385318827328,1615259143837,3,2,115,0
385318827328,1615641820357,6,2,115,0
385381703774,1619417503558,0,2,118,0
385381703774,1619417503564,2,2,118,0
385381703774,1619417572380,3,2,118,0
385381703774,1624256885240,6,2,118,0
385387974607,1620923343562,0,2,115,0
385387974607,1620939172770,2,2,115,0
385387974607,1620956694654,3,2,115,0
385387974607,1621720199394,6,2,115,0
385391635091,1621464064380,0,2,115,0
385391635091,1621489473187,2,2,115,0
385391635091,1621491085056,3,2,115,0
385391635091,1621835985919,6,2,115,0
385442490812,1630062031223,0,2,117,0
385442490812,1630086365191,2,2,117,0
385442490812,1630118617108,3,2,117,0
385442490812,1630339240421,6,2,117,0
385474922565,1636029529576,1,2,115,0
385474922565,1636044818260,2,2,115,0
385474922565,1636047172263,3,2,115,0
385474922565,1636134655360,6,2,115,0
385480588319,1638840526985,1,2,115,0
385480588319,1638863456097,2,2,115,0
385480588319,1638865592053,3,2,115,0
385480588319,1638957984771,6,2,115,0
385499624032,1642570098102,1,2,115,0
385499624032,1642591979977,2,2,115,0
385499624032,1642595891603,3,2,115,0
385499624032,1642834988222,6,2,115,0
385514174149,1645535782983,0,2,118,0
385514174149,1645535782989,2,2,118,0
385514174149,1645535898098,3,2,118,0
385514174149,1651632207210,6,2,118,0
385522024476,1647799127617,1,2,115,0
385522024476,1647857070901,2,2,115,0
385522024476,1647869588172,3,2,115,0
385522024476,1648191273033,6,2,115,0
385535345783,1650455254283,1,2,115,0
385535345783,1653182992006,2,2,115,0
385535345783,1653193822871,3,2,115,0
385535345783,1653547102979,6,2,115,0
385543165719,1652229807479,0,2,117,0
385543165719,1652255672636,2,2,117,0
385543165719,1652267173546,3,2,117,0
385543165719,1658360315701,6,2,117,0
385560223277,1658411999582,1,2,115,0
385560223277,1658447967522,2,2,115,0
385560223277,1658458475546,3,2,115,0
385560223277,1659637873564,6,2,115,0
385561844096,1659357863597,0,2,117,0
385561844096,1659394320796,2,2,117,0
385561844096,1659433056513,3,2,117,0
385561844096,1659891149749,6,2,117,0
385562620796,1659912625646,0,2,119,0
385562620796,1659912625651,2,2,119,0
385562620796,1659912683982,3,2,119,0
385562620796,1660056262475,6,2,119,0
385562751630,1659999900986,1,2,115,0
385562751630,1660041882870,2,2,115,0
385562751630,1660043547145,3,2,115,0
385562751630,1661090095747,6,2,115,0
385564294903,1660975729611,1,0,105,0
385564294903,1661024405878,2,0,105,0
385564294903,1661043982142,3,0,105,0
385564294903,1661155149641,6,0,105,0
385564820410,1661220337705,1,0,105,0
385564820410,1661273897685,2,0,105,0
385564820410,1661289942036,3,0,105,0
385564820410,1661917542422,6,0,105,0
385569734384,1662551506004,1,2,115,0
385569734384,1662560208378,2,2,115,0
385569734384,1662561300752,3,2,115,0
385569734384,1662816921396,6,2,115,0
